ScenarioID,Strategy,WaitTime,NearMisses,RiskDuration,SafetyScore
1,FCFS,208221.80,56,1835.36,66.2
1,Greedy,212433.90,48,1839.44,66.2
1,CheapInsertion,499587.40,36,2270.92,61.3
1,TabuSearch,293602.80,30,1623.20,68.9
2,FCFS,149435.70,44,1233.15,74.5
2,Greedy,150443.00,46,1260.80,74.1
2,CheapInsertion,292482.70,34,895.04,80.1
2,TabuSearch,382617.50,34,1253.92,74.2
3,FCFS,327941.30,126,3081.00,53.9
3,Greedy,327748.00,118,3345.01,51.8
3,CheapInsertion,672751.50,74,1948.17,64.9
3,TabuSearch,788155.40,68,1856.89,66.0
4,FCFS,300138.60,62,1659.29,68.5
4,Greedy,312169.00,90,2261.04,61.4
4,CheapInsertion,631914.70,50,1740.72,67.4
4,TabuSearch,835911.80,48,1438.27,71.5
5,FCFS,268778.90,42,1312.28,73.3
5,Greedy,234125.10,46,1372.45,72.4
5,CheapInsertion,283169.20,44,1958.73,64.8
5,TabuSearch,282846.50,42,1951.84,64.8
6,FCFS,272466.70,88,1632.52,68.8
6,Greedy,256735.80,96,1733.43,67.5
6,CheapInsertion,721248.70,56,1044.94,77.5
6,TabuSearch,632748.90,62,909.52,79.8
7,FCFS,177638.30,46,626.59,85.2
7,Greedy,176279.10,62,664.05,84.4
7,CheapInsertion,275894.20,32,496.06,87.9
7,TabuSearch,463564.40,24,196.04,94.8
8,FCFS,391331.60,86,2532.59,58.7
8,Greedy,334394.30,88,2331.63,60.7
8,CheapInsertion,693734.00,64,1425.34,71.6
8,TabuSearch,870953.60,56,1385.02,72.2
9,FCFS,281440.70,92,3130.52,53.5
9,Greedy,287932.50,88,3171.05,53.2
9,CheapInsertion,862987.90,50,1473.69,71.0
9,TabuSearch,785287.50,58,1995.30,64.3
10,FCFS,804325.30,122,3426.45,51.2
10,Greedy,632545.60,120,3405.98,51.4
10,CheapInsertion,1441131.00,80,2416.48,59.8
10,TabuSearch,1696197.00,52,1584.94,69.4
11,FCFS,209113.10,56,1406.56,71.9
11,Greedy,209215.60,58,1174.55,75.4
11,CheapInsertion,536385.70,38,813.86,81.6
11,TabuSearch,520721.00,42,878.75,80.4
12,FCFS,973243.10,124,3015.25,54.4
12,Greedy,721646.00,138,4445.27,44.7
12,CheapInsertion,1367666.00,88,2748.19,56.7
12,TabuSearch,1559506.00,76,1760.34,67.2
13,FCFS,174296.40,52,1744.64,67.4
13,Greedy,174189.90,50,1757.86,67.2
13,CheapInsertion,250853.40,14,200.16,94.7
13,TabuSearch,239437.80,62,319.77,91.8
14,FCFS,330546.50,86,2015.80,64.1
14,Greedy,302822.60,70,1611.94,69.1
14,CheapInsertion,564830.40,56,1817.03,66.5
14,TabuSearch,563439.00,62,1724.33,67.6
15,FCFS,256768.80,66,1577.42,69.5
15,Greedy,255933.90,66,1557.09,69.8
15,CheapInsertion,478837.80,38,1211.31,74.8
15,TabuSearch,492090.70,40,1221.56,74.7
16,FCFS,164144.90,52,983.22,78.5
16,Greedy,153889.90,56,1008.81,78.1
16,CheapInsertion,228363.00,28,581.78,86.1
16,TabuSearch,320813.10,28,495.19,87.9
17,FCFS,648063.40,80,1873.19,65.8
17,Greedy,513724.30,86,1721.84,67.6
17,CheapInsertion,1390657.00,42,900.75,80.0
17,TabuSearch,1094590.00,52,1369.34,72.4
18,FCFS,320072.00,114,3526.16,50.5
18,Greedy,303564.10,100,2834.50,55.9
18,CheapInsertion,570757.40,74,2778.63,56.4
18,TabuSearch,631085.40,76,2086.06,63.3
19,FCFS,249300.50,74,1758.16,67.2
19,Greedy,252902.30,84,2316.03,60.9
19,CheapInsertion,305648.90,44,1004.44,78.2
19,TabuSearch,394423.00,36,1106.25,76.5
20,FCFS,248993.10,72,1917.47,65.2
20,Greedy,251303.60,74,1972.34,64.6
20,CheapInsertion,829418.50,32,544.34,86.9
20,TabuSearch,498198.30,60,1260.31,74.1
21,FCFS,277415.40,60,1651.69,68.5
21,Greedy,276084.30,64,1795.66,66.7
21,CheapInsertion,871023.20,32,658.59,84.5
21,TabuSearch,670434.90,46,943.97,79.2
22,FCFS,189005.40,40,1320.03,73.2
22,Greedy,210201.40,46,1168.13,75.5
22,CheapInsertion,223511.40,42,619.63,85.3
22,TabuSearch,205501.40,52,1509.31,70.5
23,FCFS,413266.60,80,2468.69,59.3
23,Greedy,355312.80,78,1777.00,67.0
23,CheapInsertion,789481.20,52,1962.44,64.7
23,TabuSearch,677207.00,50,878.88,80.4
24,FCFS,319796.60,82,3663.88,49.6
24,Greedy,296870.80,86,3222.88,52.8
24,CheapInsertion,481906.50,72,3083.94,53.9
24,TabuSearch,490867.80,72,3889.59,48.1
25,FCFS,268351.10,76,1967.50,64.7
25,Greedy,262726.60,94,1816.31,66.5
25,CheapInsertion,439918.80,22,933.28,79.4
25,TabuSearch,749207.60,28,945.31,79.2
26,FCFS,189154.70,38,954.81,79.0
26,Greedy,184592.50,40,957.53,79.0
26,CheapInsertion,119642.80,30,403.53,89.9
26,TabuSearch,119457.80,30,391.19,90.2
27,FCFS,350630.30,96,3773.31,48.8
27,Greedy,311103.00,102,3014.09,54.4
27,CheapInsertion,414951.30,52,1364.22,72.5
27,TabuSearch,504318.10,60,2128.50,62.8
28,FCFS,647478.10,78,3946.59,47.7
28,Greedy,559904.50,96,3055.53,54.1
28,CheapInsertion,965714.30,74,2360.63,60.4
28,TabuSearch,1183325.00,66,2015.44,64.1
29,FCFS,395381.80,70,1330.03,73.0
29,Greedy,380976.00,66,1276.38,73.8
29,CheapInsertion,872349.10,42,595.06,85.8
29,TabuSearch,929552.40,42,580.53,86.1
30,FCFS,325628.00,60,1483.53,70.8
30,Greedy,470476.90,44,1374.81,72.4
30,CheapInsertion,480082.50,34,828.50,81.3
30,TabuSearch,629206.30,40,1176.06,75.4
31,FCFS,324177.40,82,2747.75,56.7
31,Greedy,321417.40,116,2830.38,56.0
31,CheapInsertion,701693.40,50,1713.63,67.8
31,TabuSearch,739385.60,50,1524.56,70.2
