ScenarioID,Strategy,WaitTime,NearMisses,RiskDuration,SafetyScore,VesselCount,AvgWait_Hrs
1,FCFS,208221.8,56,1835.36,66.2,31,1.8657867383512543
1,Greedy,212433.9,48,1839.44,66.2,31,1.903529569892473
1,CheapInsertion,499587.4,36,2270.92,61.3,31,4.476589605734767
1,TabuSearch,293602.8,30,1623.2,68.9,31,2.630849462365591
2,FCFS,149435.7,44,1233.15,74.5,25,1.660396666666667
2,Greedy,150443.0,46,1260.8,74.1,25,1.671588888888889
2,CheapInsertion,292482.7,34,895.04,80.1,25,3.249807777777778
2,TabuSearch,382617.5,34,1253.92,74.2,25,4.251305555555556
3,FCFS,327941.3,126,3081.0,53.9,39,2.335764245014245
3,Greedy,327748.0,118,3345.01,51.8,39,2.334387464387464
3,CheapInsertion,672751.5,74,1948.17,64.9,39,4.79167735042735
3,TabuSearch,788155.4,68,1856.89,66.0,39,5.613642450142451
4,FCFS,300138.6,62,1659.29,68.5,33,2.526419191919192
4,Greedy,312169.0,90,2261.04,61.4,33,2.627685185185185
4,CheapInsertion,631914.7,50,1740.72,67.4,33,5.319147306397306
4,TabuSearch,835911.8,48,1438.27,71.5,33,7.036294612794613
5,FCFS,268778.9,42,1312.28,73.3,30,2.488693518518519
5,Greedy,234125.1,46,1372.45,72.4,30,2.167825
5,CheapInsertion,283169.2,44,1958.73,64.8,30,2.621937037037037
5,TabuSearch,282846.5,42,1951.84,64.8,30,2.618949074074074
6,FCFS,272466.7,88,1632.52,68.8,36,2.102366512345679
6,Greedy,256735.8,96,1733.43,67.5,36,1.980986111111111
6,CheapInsertion,721248.7,56,1044.94,77.5,36,5.565190586419753
6,TabuSearch,632748.9,62,909.52,79.8,36,4.882321759259259
7,FCFS,177638.3,46,626.59,85.2,26,1.8978450854700852
7,Greedy,176279.1,62,664.05,84.4,26,1.8833237179487181
7,CheapInsertion,275894.2,32,496.06,87.9,26,2.9475876068376072
7,TabuSearch,463564.4,24,196.04,94.8,26,4.9526111111111115
8,FCFS,391331.6,86,2532.59,58.7,38,2.860611111111111
8,Greedy,334394.3,88,2331.63,60.7,38,2.444402777777778
8,CheapInsertion,693734.0,64,1425.34,71.6,38,5.071154970760234
8,TabuSearch,870953.6,56,1385.02,72.2,38,6.3666198830409355
9,FCFS,281440.7,92,3130.52,53.5,35,2.233656349206349
9,Greedy,287932.5,88,3171.05,53.2,35,2.2851785714285713
9,CheapInsertion,862987.9,50,1473.69,71.0,35,6.849110317460318
9,TabuSearch,785287.5,58,1995.3,64.3,35,6.232440476190476
10,FCFS,804325.3,122,3426.45,51.2,46,4.857036835748793
10,Greedy,632545.6,120,3405.98,51.4,46,3.819719806763285
10,CheapInsertion,1441131.0,80,2416.48,59.8,46,8.70248188405797
10,TabuSearch,1696197.0,52,1584.94,69.4,46,10.242735507246378
11,FCFS,209113.1,56,1406.56,71.9,31,1.8737732974910395
11,Greedy,209215.6,58,1174.55,75.4,31,1.8746917562724015
11,CheapInsertion,536385.7,38,813.86,81.6,31,4.8063234767025085
11,TabuSearch,520721.0,42,878.75,80.4,31,4.665958781362008
12,FCFS,973243.1,124,3015.25,54.4,48,5.63219386574074
12,Greedy,721646.0,138,4445.27,44.7,48,4.176192129629629
12,CheapInsertion,1367666.0,88,2748.19,56.7,48,7.9147337962962965
12,TabuSearch,1559506.0,76,1760.34,67.2,48,9.02491898148148
13,FCFS,174296.4,52,1744.64,67.4,23,2.1050289855072464
13,Greedy,174189.9,50,1757.86,67.2,23,2.1037427536231883
13,CheapInsertion,250853.4,14,200.16,94.7,23,3.0296304347826086
13,TabuSearch,239437.8,62,319.77,91.8,23,2.8917608695652173
14,FCFS,330546.5,86,2015.8,64.1,40,2.2954618055555556
14,Greedy,302822.6,70,1611.94,69.1,40,2.1029347222222223
14,CheapInsertion,564830.4,56,1817.03,66.5,40,3.922433333333333
14,TabuSearch,563439.0,62,1724.33,67.6,40,3.9127708333333335
15,FCFS,256768.8,66,1577.42,69.5,35,2.0378476190476187
15,Greedy,255933.9,66,1557.09,69.8,35,2.0312214285714285
15,CheapInsertion,478837.8,38,1211.31,74.8,35,3.8003
15,TabuSearch,492090.7,40,1221.56,74.7,35,3.905481746031746
16,FCFS,164144.9,52,983.22,78.5,24,1.8998252314814814
16,Greedy,153889.9,56,1008.81,78.1,24,1.7811331018518517
16,CheapInsertion,228363.0,28,581.78,86.1,24,2.6430902777777776
16,TabuSearch,320813.1,28,495.19,87.9,24,3.713114583333333
17,FCFS,648063.4,80,1873.19,65.8,46,3.9134263285024153
17,Greedy,513724.3,86,1721.84,67.6,46,3.102199879227053
17,CheapInsertion,1390657.0,42,900.75,80.0,46,8.397687198067633
17,TabuSearch,1094590.0,52,1369.34,72.4,46,6.609842995169082
18,FCFS,320072.0,114,3526.16,50.5,40,2.2227222222222225
18,Greedy,303564.1,100,2834.5,55.9,40,2.1080840277777777
18,CheapInsertion,570757.4,74,2778.63,56.4,40,3.963593055555556
18,TabuSearch,631085.4,76,2086.06,63.3,40,4.3825375
19,FCFS,249300.5,74,1758.16,67.2,34,2.036768790849673
19,Greedy,252902.3,84,2316.03,60.9,34,2.066195261437908
19,CheapInsertion,305648.9,44,1004.44,78.2,34,2.497131535947713
19,TabuSearch,394423.0,36,1106.25,76.5,34,3.2224101307189543
20,FCFS,248993.1,72,1917.47,65.2,37,1.8693175675675677
20,Greedy,251303.6,74,1972.34,64.6,37,1.8866636636636638
20,CheapInsertion,829418.5,32,544.34,86.9,37,6.2268656156156155
20,TabuSearch,498198.3,60,1260.31,74.1,37,3.740227477477477
21,FCFS,277415.4,60,1651.69,68.5,33,2.335146464646465
21,Greedy,276084.3,64,1795.66,66.7,33,2.323941919191919
21,CheapInsertion,871023.2,32,658.59,84.5,33,7.331845117845117
21,TabuSearch,670434.9,46,943.97,79.2,33,5.643391414141414
22,FCFS,189005.4,40,1320.03,73.2,28,1.8750535714285714
22,Greedy,210201.4,46,1168.13,75.5,28,2.085331349206349
22,CheapInsertion,223511.4,42,619.63,85.3,28,2.217375
22,TabuSearch,205501.4,52,1509.31,70.5,28,2.038704365079365
23,FCFS,413266.6,80,2468.69,59.3,37,3.102602102102102
23,Greedy,355312.8,78,1777.0,67.0,37,2.6675135135135135
23,CheapInsertion,789481.2,52,1962.44,64.7,37,5.927036036036036
23,TabuSearch,677207.0,50,878.88,80.4,37,5.084136636636637
24,FCFS,319796.6,82,3663.88,49.6,32,2.7760121527777777
24,Greedy,296870.8,86,3222.88,52.8,32,2.577003472222222
24,CheapInsertion,481906.5,72,3083.94,53.9,32,4.183216145833334
24,TabuSearch,490867.8,72,3889.59,48.1,32,4.261005208333334
25,FCFS,268351.1,76,1967.5,64.7,37,2.014647897897898
25,Greedy,262726.6,94,1816.31,66.5,37,1.972421921921922
25,CheapInsertion,439918.8,22,933.28,79.4,37,3.3026936936936933
25,TabuSearch,749207.6,28,945.31,79.2,37,5.624681681681682
26,FCFS,189154.7,38,954.81,79.0,30,1.7514324074074075
26,Greedy,184592.5,40,957.53,79.0,30,1.7091898148148148
26,CheapInsertion,119642.8,30,403.53,89.9,30,1.1078037037037036
26,TabuSearch,119457.8,30,391.19,90.2,30,1.1060907407407408
27,FCFS,350630.3,96,3773.31,48.8,38,2.5630869883040934
27,Greedy,311103.0,102,3014.09,54.4,38,2.2741447368421053
27,CheapInsertion,414951.3,52,1364.22,72.5,38,3.0332697368421053
27,TabuSearch,504318.1,60,2128.5,62.8,38,3.68653581871345
28,FCFS,647478.1,78,3946.59,47.7,41,4.386707994579946
28,Greedy,559904.5,96,3055.53,54.1,41,3.7933909214092143
28,CheapInsertion,965714.3,74,2360.63,60.4,41,6.542779810298103
28,TabuSearch,1183325.0,66,2015.44,64.1,41,8.01710704607046
29,FCFS,395381.8,70,1330.03,73.0,37,2.968331831831832
29,Greedy,380976.0,66,1276.38,73.8,37,2.8601801801801803
29,CheapInsertion,872349.1,42,595.06,85.8,37,6.549167417417418
29,TabuSearch,929552.4,42,580.53,86.1,37,6.978621621621621
30,FCFS,325628.0,60,1483.53,70.8,30,3.015074074074074
30,Greedy,470476.9,44,1374.81,72.4,30,4.356267592592593
30,CheapInsertion,480082.5,34,828.5,81.3,30,4.445208333333333
30,TabuSearch,629206.3,40,1176.06,75.4,30,5.8259842592592594
31,FCFS,324177.4,82,2747.75,56.7,39,2.3089558404558406
31,Greedy,321417.4,116,2830.38,56.0,39,2.289297720797721
31,CheapInsertion,701693.4,50,1713.63,67.8,39,4.99781623931624
31,TabuSearch,739385.6,50,1524.56,70.2,39,5.266279202279202
